id,retweet_count,favorite_count
892420643555336193,7293,34820
892177421306343426,5454,30159
891815181378084864,3592,22699
891689557279858688,7489,38076
891327558926688256,8047,36366
891087950875897856,2698,18344
890971913173991426,1741,10680
890729181411237888,16369,58657
890609185150312448,3743,25255
890240255349198849,6320,28806
890006608113172480,6358,27798
889880896479866881,4315,25279
889665388333682689,8656,43350
889638837579907072,3866,24382
889531135344209921,1951,13742
889278841981685760,4614,22768
888917238123831296,3882,26345
888804989199671297,3673,23119
888554962724278272,2984,17831
888078434458587136,3008,19730
887705289381826560,4684,27421
887517139158093824,10196,41923
887473957103951883,15579,62029
887343217045368832,9130,30424
887101392804085760,5168,27752
886983233522544640,6618,31394
886736880519319552,2745,10807
886680336477933568,3877,20336
886366144734445568,2734,19110
886267009285017600,3,106
886258384151887873,5476,25299
886054160059072513,95,0
885984800019947520,5823,29462
885528943205470208,5540,32530
885518971528720385,3227,18537
885311592912609280,15997,0
885167619883638784,3792,19792
884925521741709313,15617,69482
884876753390489601,4839,25153
884562892145688576,4063,21974
884441805382717440,4946,24547
884247878851493888,17576,65435
884162670584377345,2593,18458
883838122936631299,2967,19767
883482846933004288,8576,41431
883360690899218434,3194,20525
883117836046086144,5740,33548
882992080364220416,3353,21623
882762694511734784,4243,25543
882627270321602560,5259,25355
882268110199369728,10041,40459
882045870035918850,4221,26525
881906580714921986,2954,22063
881666595344535552,9266,45875
881633300179243008,8,113
881536004380872706,13897,44768
881268444196462592,4618,21099
880935762899988482,2425,15496
880872448815771648,3315,19282
880465832366813184,5404,25731
880221127280381952,3608,24400
880095782870896641,3774,25028
879862464715927552,3029,20294
879674319642796034,10,286
879492040517615616,2747,21310
879415818425184262,38775,95672
879376492567855104,2726,15286
879130579576475649,5938,0
879050749262655488,4088,20432
879008229531029506,2330,17247
878776093423087618,3575,17602
878604707211726852,6142,27203
878404777348136964,1110,0
878316110768087041,5747,0
878281511006478336,1110,7003
878057613040115712,5938,38184
877736472329191424,16434,71558
877611172832227328,70,0
877556246731214848,3293,20553
877316821321428993,4532,24898
877201837425926144,4830,24575
876838120628539392,2905,18778
876537666061221889,4107,21598
876484053909872640,2067,17048
876120275196170240,4058,25413
875747767867523072,3728,22832
875144289856114688,4275,19934
875097192612077568,5314,24954
875021211251597312,4116,23217
874680097055178752,4058,25313
874434818259525634,12675,0
874296783580663808,3616,23711
874057562936811520,3490,20698
874012996292530176,8913,31047
873580283840344065,3444,22066
873337748698140672,1382,0
873213775632977920,1382,6523
872967104147763200,4725,24798
872820683541237760,3261,13435
872620804844003328,3183,18895
872486979161796608,7986,37145
872122724285648897,7112,31192
871879754684805121,9596,34174
871762521631449091,3065,18440
871515927908634625,3046,18417
871166179821445120,5037,0
871102520638267392,4851,19089
871032628920680449,3348,20760
870804317367881728,5444,30690
870726314365509632,3,109
870656317836468226,2287,11210
870374049280663552,23527,76118
870308999962521604,3656,20040
870063196459192321,7325,33349
869772420881756160,8979,39036
869702957897576449,5558,25787
869596645499047938,2734,14627
869227993411051520,3325,18684
868880397819494401,12720,59757
868639477480148993,1817,0
868622495443632128,4666,24346
868552278524837888,1817,9235
867900495410671616,3707,22213
867774946302451713,6485,31136
867421006826221569,2201,14752
867072653475098625,106,0
867051520902168576,7009,29531
866720684873056260,4264,18352
866686824827068416,3070,17650
866450705531457537,31391,112160
866334964761202691,12675,48014
866094527597207552,7450,0
865718153858494464,5018,23638
865359393868664832,4455,24327
865006731092295680,6905,25804
864873206498414592,7754,29647
864279568663928832,2686,13457
864197398364647424,7875,27518
863907417377173506,3713,19006
863553081350529029,3761,14049
863471782782697472,2159,0
863432100342583297,4705,21917
863427515083354112,84,2016
863079547188785154,993,8120
863062471531167744,2159,7759
862831371563274240,4610,17699
862722525377298433,3196,15793
862457590147678208,4411,18834
862096992088072192,20751,68360
861383897657036800,9633,33295
861288531465048066,3718,15843
861005113778896900,3448,15446
860981674716409858,1925,0
860924035999428608,704,0
860563773140209665,1925,6934
860524505164394496,4770,21896
860276583193509888,3171,17082
860184849394610176,5293,15432
860177593139703809,27835,0
859924526012018688,3701,18192
859851578198683649,3185,14357
859607811541651456,1403,17311
859196978902773760,27266,83185
859074603037188101,12383,31352
858860390427611136,7361,0
858843525470990336,3144,14523
858471635011153920,4421,20090
858107933456039936,2627,14663
857989990357356544,2347,14953
857746408056729600,9692,31805
857393404942143489,1490,5477
857263160327368704,4122,18761
857214891891077121,16,208
857062103051644929,154,0
857029823797047296,3629,17582
856543823941562368,2638,15301
856526610513747968,1716,11141
856330835276025856,613,0
856288084350160898,15,494
856282028240666624,5784,26013
855862651834028034,22,313
855860136149123072,885,4576
855857698524602368,1934,11145
855851453814013952,16646,43080
855818117272018944,4989,24996
855459453768019968,7550,27916
855245323840757760,5479,0
855138241867124737,39,0
854732716440526848,5578,21350
854482394044301312,6274,27430
854365224396361728,4319,17733
854120357044912130,6865,30087
854010172552949760,2907,15299
853760880890318849,5322,26901
853639147608842240,9235,32602
853299958564483072,3285,14612
852936405516943360,1851,0
852912242202992640,1668,8499
852672615818899456,2007,14096
852553447878664193,3235,15380
852311364735569921,9216,31303
852226086759018497,6333,18884
852189679701164033,1474,10872
851861385021730816,19,0
851591660324737024,3246,15429
851464819735769094,6554,22981
851224888060895234,5361,19629
850753642995093505,8434,29117
850380195714523136,2425,12451
850333567704068097,307,3284
850145622816686080,3527,15490
850019790995546112,4550,19377
849776966551130114,7086,28831
849668094696017920,4632,0
849412302885593088,2944,15106
849336543269576704,1762,10862
849051919805034497,7920,40272
848690551926992896,4056,24013
848324959059550208,4330,23564
848213670039564288,673,7786
848212111729840128,2825,15538
847978865427394560,3047,0
847971574464610304,414,0
847962785489326080,4759,22418
847842811428974592,1234,5163
847617282490613760,388,6668
847606175596138505,3208,17910
847251039262605312,4067,19568
847157206088847362,5459,18931
847116187444137987,2990,20482
846874817362120707,3680,19191
846514051647705089,10817,42515
846505985330044928,2877,13495
846153765933735936,8497,30084
846139713627017216,9494,29672
846042936437604353,2684,15283
845812042753855489,8171,27935
845677943972139009,4537,24138
845397057150107648,1676,7306
845306882940190720,5054,22312
845098359547420673,7194,0
844979544864018432,2397,13070
844973813909606400,2977,14389
844580511645339650,2923,15758
844223788422217728,2064,13098
843981021012017153,2798,14569
843856843873095681,4341,20591
843604394117681152,2574,16198
843235543001513987,5644,20623
842846295480000512,3438,14679
842765311967449089,1203,6467
842535590457499648,3308,17419
842163532590374912,5479,23458
842115215311396866,2860,13430
841833993020538882,14146,0
841680585030541313,7415,24781
841439858740625411,3449,12117
841320156043304961,5213,19042
841314665196081154,4389,15227
841077006473256960,5037,21989
840761248237133825,1665,0
840728873075638272,15157,0
